"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"123","anon7_look","3","cue_strength_between","look","Elephant","t4","t9","inner","t4","left","1",3564,1
"124","anon7_look","4","cue_strength_between","look","Frog","t10","t14","outer","t10","left","2",1904,1
"125","anon7_look","5","cue_strength_between","look","Bear","t12","t5","inner","t5","right","3",1172,1
"126","anon7_look","6","cue_strength_between","look","Mouse","t8","t16","outer","t8","left","4",1254,1
"127","anon7_look","7","cue_strength_between","look","Pig","t7","t2","inner","t7","left","5",961,1
"128","anon7_look","8","cue_strength_between","look","Bunny","t15","t6","inner","t6","right","6",1233,1
"129","anon7_look","9","cue_strength_between","look","Tiger","t3","t11","inner","t11","right","7",2532,1
"130","anon7_look","10","cue_strength_between","look","Dog","t1","t17","outer","t17","right","8",2370,1
"131","anon8_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",17624,1
"132","anon8_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9789,1
"133","anon8_look","3","cue_strength_between","look","Cat","t8","t16","inner","t8","left","1",12115,1
"134","anon8_look","4","cue_strength_between","look","Sheep","t12","t9","inner","t12","right","2",13066,0
"135","anon8_look","5","cue_strength_between","look","Bear","t7","t15","inner","t15","left","3",6547,0
"136","anon8_look","6","cue_strength_between","look","Tiger","t14","t10","inner","t10","left","4",3297,0
"137","anon8_look","7","cue_strength_between","look","Pig","t1","t11","inner","t11","left","5",3933,1
"138","anon8_look","8","cue_strength_between","look","Elephant","t4","t5","inner","t4","right","6",3884,0
"139","anon8_look","9","cue_strength_between","look","Monkey","t3","t2","inner","t3","right","7",3215,0
"140","anon8_look","10","cue_strength_between","look","Dog","t17","t6","outer","t6","right","8",5234,1
"141","anon9_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5565,1
"142","anon9_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",6074,1
"143","anon9_look","3","cue_strength_between","look","Tiger","t7","t1","inner","t7","left","1",6553,1
"144","anon9_look","4","cue_strength_between","look","Frog","t11","t3","outer","t11","left","2",3173,1
"145","anon9_look","5","cue_strength_between","look","Mouse","t12","t6","outer","t12","left","3",2802,1
"146","anon9_look","6","cue_strength_between","look","Elephant","t10","t8","outer","t8","right","4",2608,1
"147","anon9_look","7","cue_strength_between","look","Pig","t17","t2","outer","t2","right","5",2157,1
"148","anon9_look","8","cue_strength_between","look","Monkey","t16","t4","inner","t4","right","6",2304,1
"149","anon9_look","9","cue_strength_between","look","Bunny","t15","t9","outer","t15","left","7",2319,1
"150","anon9_look","10","cue_strength_between","look","Bear","t14","t5","inner","t5","right","8",1984,1
